CongestionIndex,CoV
1.061270289,0.050117203
1.317622396,0.118009652
1.286167557,0.11218492
1.258327358,0.082478685
1.302765364,0.123277269
1.037876494,0.011914603
1.042824689,0.013019673
1.051604871,0.02464661
1.041947723,0.016638345
1.020209278,0.014155791
1.024685701,0.014144183
1.031217837,0.024736441
1.010847241,0.014305975
1.00438875,0.008565475
1.001394931,0.008379588
1.00820298,0.015344878
1.003810692,0.009444949
1.00492105,0.009971726
1.001976149,0.009747923
1.008735517,0.016899064
1.004397882,0.010863035
1.180656125,0.114354292
1.138292573,0.084626547
1.120233908,0.082108182
1.170295212,0.112421714
3.683493276,0.66669932
3.341936828,0.624716401
3.239515273,0.615418336
3.636764741,0.68621168
1.455651881,0.40342941
1.448817866,0.441338527
1.425881131,0.503495035
1.509510012,0.571998613
1.375295077,0.398683225
1.537073465,0.340690155
1.531252174,0.276879512
1.649902052,0.470738903
2.004773947,0.480460823
1.333436381,0.212523155
1.35537018,0.289564844
1.386353476,0.343087526
3.486582053,0.504833272
2.890178528,0.466325261
2.545664419,0.4689565
3.02018084,0.51607643
2.036019943,0.481265911
2.079168358,0.410254772
1.961799423,0.403380185
2.084995054,0.508716132
1.554962406,0.525334405
1.30961563,0.323726003
1.289263163,0.385989454
1.357900977,0.378973548
1.212727808,0.161680551
1.146468043,0.126116067
1.092276556,0.101450194
1.18771251,0.138938057
1.353602569,0.22817169
1.244436609,0.147804207
1.161289491,0.171304699
1.28965798,0.162482002
1.300886474,0.182867391
1.153400727,0.261987734
1.093948985,0.123513585
1.164137089,0.185638794
1.449217462,0.268762751
1.289258458,0.20038647
1.208076113,0.153068757
1.382273993,0.246253396
1.729967631,0.526297234
1.478484244,0.308616226
1.378942787,0.270482389
1.589974435,0.362881952
2.180966451,0.729824584
1.298034918,0.249090746
1.192472536,0.184542205
1.582125857,0.417997042
2.06432069,0.505675662
1.72732596,0.313965571
1.606301414,0.232131959
1.707180301,0.31506662
1.590350132,0.176774079
1.626128692,0.14784993
1.415386672,0.186570017
1.707897674,0.218924261
1.795729965,0.320973346
1.935833499,0.30286965
1.465381092,0.276333446
2.442938827,0.357772311
1.750919506,0.245399124
1.79172904,0.221775553
1.528930636,0.231087792
1.986739438,0.257877807
1.77976917,0.462605058
1.848440421,0.36771168
1.55500041,0.358808609
2.435746338,0.44465975
2.200760448,0.533680181
2.283916802,0.446546725
1.940223354,0.410473847
3.00717655,0.531272477
2.179507948,0.432699565
2.473545912,0.451439915
2.315202289,0.445701203
2.630626942,0.519860751
1.724857809,0.278285962
1.671131712,0.232745358
1.493549858,0.220499145
1.800215814,0.279739129
2.39859886,0.397975872
2.280925751,0.334027136
1.910490509,0.315243684
2.502738448,0.387939027
2.023860445,0.591100476
1.821853209,0.517328541
1.698352855,0.526116227
2.184540878,0.723904533
2.534592934,0.470638655
2.218778505,0.413039481
1.907003556,0.415487917
2.689991088,0.471589568
2.392349407,0.252449041
2.093447609,0.219027167
1.904320937,0.275854415
2.875375858,0.345722548
2.010258752,0.21914331
1.872219665,0.169312326
1.711027199,0.215942616
2.214536779,0.207430069
1.83410109,0.188087389
1.628418739,0.122917076
1.434246403,0.165850389
1.891222896,0.157507268
2.515352822,0.465950494
2.288014284,0.36831928
1.938790345,0.422897566
2.383764221,0.435554246
1.902344981,0.183376042
1.7516233,0.165841364
